#1:iter	2:freq	3:dynamicOutput	4:duration	5:volume	6:plain_volume	7:plain_greyness
0 	500.0 	138971 	0.137 	0.5 	0.42223 	0.199755
1 	500.0 	156784 	0.01 	0.422226 	0.448344 	0.804661
2 	500.0 	207217 	0.016 	0.448319 	0.42389 	0.432077
3 	500.0 	193208 	0.015 	0.423862 	0.434998 	0.712479
4 	500.0 	213208 	0.014 	0.43481 	0.424814 	0.519907
5 	500.0 	204428 	0.012 	0.424627 	0.429971 	0.653431
6 	500.0 	213211 	0.015 	0.429563 	0.434095 	0.732949
7 	500.0 	212124 	0.013 	0.43359 	0.443129 	0.677381
8 	500.0 	211861 	0.012 	0.442674 	0.422523 	0.681773
9 	500.0 	212756 	0.014 	0.421879 	0.443923 	0.701784
10 	500.0 	212755 	0.014 	0.44368 	0.428892 	0.685846
11 	500.0 	213381 	0.013 	0.428297 	0.438237 	0.702635
12 	500.0 	213220 	0.015 	0.437979 	0.431346 	0.691584
13 	500.0 	213484 	0.018 	0.43086 	0.43511 	0.702675
14 	500.0 	213370 	0.009 	0.43471 	0.432777 	0.694213
15 	500.0 	213486 	0.007 	0.432334 	0.429923 	0.691976
16 	500.0 	213467 	0.01 	0.429419 	0.433536 	0.694588
17 	500.0 	213480 	0.008 	0.43304 	0.431577 	0.691569
18 	500.0 	213483 	0.009 	0.431018 	0.432775 	0.69437
19 	500.0 	213487 	0.006 	0.432285 	0.432131 	0.691986
20 	500.0 	213488 	0.01 	0.431593 	0.432499 	0.693967
21 	500.0 	213489 	0.007 	0.431986 	0.432225 	0.692479
22 	500.0 	213489 	0.015 	0.431694 	0.432423 	0.693536
23 	500.0 	213489 	0.008 	0.431906 	0.432308 	0.692748
24 	500.0 	213489 	0.015 	0.431782 	0.432419 	0.693271
25 	500.0 	213489 	0.01 	0.431902 	0.432377 	0.692948
26 	500.0 	213489 	0.017 	0.431859 	0.432452 	0.693102
27 	500.0 	213489 	0.009 	0.431937 	0.432581 	0.693238
28 	500.0 	213489 	0.007 	0.432068 	0.432561 	0.692942
29 	500.0 	213489 	0.018 	0.432047 	0.432577 	0.693209
30 	500.0 	213489 	0.01 	0.432062 	0.432607 	0.692894
31 	500.0 	213489 	0.01 	0.432091 	0.432572 	0.693147
32 	500.0 	213489 	0.014 	0.432058 	0.432606 	0.693078
33 	500.0 	213489 	0.028 	0.432092 	0.432578 	0.693104
34 	500.0 	213489 	0.012 	0.432064 	0.432609 	0.693124
35 	500.0 	213489 	0.008 	0.432096 	0.43261 	0.693099
36 	500.0 	213489 	0.011 	0.432098 	0.432624 	0.69309
37 	500.0 	213489 	0.017 	0.432112 	0.432634 	0.693076
38 	500.0 	213489 	0.021 	0.432124 	0.432654 	0.693072
39 	500.0 	213489 	0.012 	0.432145 	0.432674 	0.693055
40 	500.0 	213489 	0.008 	0.432167 	0.432701 	0.69304
41 	500.0 	213489 	0.011 	0.432196 	0.432713 	0.692978
42 	500.0 	213489 	0.011 	0.432211 	0.432724 	0.692985
43 	500.0 	213489 	0.008 	0.432222 	0.432756 	0.692955
44 	500.0 	213489 	0.012 	0.432256 	0.432789 	0.692922
45 	500.0 	213489 	0.017 	0.432293 	0.432828 	0.692878
46 	500.0 	213489 	0.008 	0.432336 	0.432875 	0.692823
47 	500.0 	213489 	0.008 	0.432387 	0.432932 	0.692753
48 	500.0 	213489 	0.022 	0.432448 	0.433 	0.692658
49 	500.0 	213490 	0.013 	0.432522 	0.43308 	0.692533
50 	500.0 	213490 	0.021 	0.43261 	0.433155 	0.692412
51 	500.0 	213490 	0.011 	0.43269 	0.433274 	0.692186
52 	500.0 	213490 	0.013 	0.432818 	0.433407 	0.691894
53 	500.0 	213490 	0.008 	0.432962 	0.433574 	0.691475
54 	500.0 	213490 	0.013 	0.433143 	0.433774 	0.690899
55 	500.0 	213490 	0.01 	0.433358 	0.434018 	0.69009
56 	500.0 	213490 	0.01 	0.433621 	0.434305 	0.688971
57 	500.0 	213490 	0.009 	0.43393 	0.434657 	0.687387
58 	500.0 	213490 	0.009 	0.434311 	0.43506 	0.685117
59 	500.0 	213490 	0.012 	0.434748 	0.435456 	0.681697
60 	500.0 	213490 	0.015 	0.435186 	0.432363 	0.687406
61 	500.0 	213480 	0.012 	0.432297 	0.435153 	0.683005
62 	500.0 	213490 	0.009 	0.43488 	0.434131 	0.683446
63 	500.0 	213489 	0.015 	0.433929 	0.435727 	0.680491
64 	500.0 	213490 	0.012 	0.435405 	0.434339 	0.683445
65 	500.0 	213490 	0.011 	0.434123 	0.435318 	0.681411
66 	500.0 	213491 	0.011 	0.435027 	0.434641 	0.682845
67 	500.0 	213490 	0.01 	0.434402 	0.435125 	0.681851
68 	500.0 	213491 	0.009 	0.434849 	0.435478 	0.681175
